Party,Statistic,Type,Coeff,pval_coeff,r2,Lilliefors,Linearity,Heteroscedasticity,Model_score
FvD,AantalGroteSupermarktenBinnen3Km_223,votes,0.0002,0.5748,0.0003,0.0,0.007,0.6606086392824455,1
PvdD,AantalGroteSupermarktenBinnen3Km_223,votes_sqrt,0.0026,0.0,0.0825,0.0,0.4009,0.89524461297711,4
CU,AantalGroteSupermarktenBinnen3Km_223,votes,-0.0017,0.0,0.0171,0.0,0.6891,1.894803365155276e-08,2
SGP,AantalGroteSupermarktenBinnen3Km_223,votes_sqrt,-0.006,0.0,0.0294,0.0,0.0615,6.969499331839952e-17,2
DENK,AantalGroteSupermarktenBinnen3Km_223,votes,0.0017,0.0,0.4429,0.0,0.0137,1.5006219680088556e-24,2
VijftigPlus,AantalGroteSupermarktenBinnen3Km_223,votes,0.0001,0.2981,0.0004,0.0,0.0,0.4930142591358818,1
VVD,AfstandTotRestaurant_224,votes_sqrt,-0.0313,0.0,0.0167,0.0,0.0014,0.9825656519520192,2
D66,AfstandTotRestaurant_224,votes_sqrt,-0.0719,0.0,0.1217,0.0,0.0,0.08032501880071634,3
PVV,AfstandTotRestaurant_224,votes_log,-0.0569,0.024,0.0014,0.0,0.0532,1.589703117776439e-07,2
CDA,AfstandTotRestaurant_224,votes_log,0.357,0.0,0.0765,0.4814,0.0,0.2718315019101692,4
SP,AfstandTotRestaurant_224,votes_sqrt,0.0055,0.1577,0.0006,0.0553,0.0001,0.3609781589498616,2
PvdA,AfstandTotRestaurant_224,votes_div,2.6068,0.0009,0.0024,0.0,0.0584,0.001351767301795487,2
Groenlinks,AfstandTotRestaurant_224,votes,-0.0257,0.0,0.0607,0.0,0.0,1.7535991054721448e-15,2
FvD,AfstandTotRestaurant_224,votes,-0.0129,0.0211,0.0048,0.0,0.1576,0.36318522154773836,3
PvdD,AfstandTotRestaurant_224,votes_sqrt,-0.0274,0.0,0.0604,0.0,0.0,0.644609917060663,3
CU,AfstandTotRestaurant_224,votes_div,-26.0236,0.0,0.022,0.0,0.5139,0.06041448576486444,3
SGP,AfstandTotRestaurant_224,votes,0.0522,0.0,0.0621,0.0,0.3576,3.246273591627139e-23,3
DENK,AfstandTotRestaurant_224,votes,-0.0115,0.0,0.098,0.0,0.0,7.114030268685271e-11,2
VijftigPlus,AfstandTotRestaurant_224,votes,-0.007,0.0,0.021,0.0,0.4408,0.3162264053459017,3
VVD,AantalRestaurantsBinnen3Km_225,votes_square,-0.0,0.0159,0.0013,0.0,0.1193,0.21712761950126694,3
D66,AantalRestaurantsBinnen3Km_225,votes,0.0005,0.0,0.1365,0.0,0.0,1.6979118379647708e-59,2
PVV,AantalRestaurantsBinnen3Km_225,votes,-0.0001,0.0,0.0052,0.0,0.8583,0.6519985343765645,3
CDA,AantalRestaurantsBinnen3Km_225,votes,-0.0009,0.0,0.1124,0.0,0.0,0.25522237391027097,3
SP,AantalRestaurantsBinnen3Km_225,votes,-0.0001,0.0135,0.002,0.0,0.3013,0.003114274719625874,2
PvdA,AantalRestaurantsBinnen3Km_225,votes,0.0002,0.0,0.006,0.0,0.7727,0.2222793423591262,3
Groenlinks,AantalRestaurantsBinnen3Km_225,votes,0.0005,0.0,0.1596,0.0,0.0,8.958551795834083e-56,2
FvD,AantalRestaurantsBinnen3Km_225,votes,-0.0001,0.3026,0.001,0.0,0.2735,0.06796689397334035,2
PvdD,AantalRestaurantsBinnen3Km_225,votes_log,0.0039,0.0,0.0606,0.0,0.0,0.15842192300182809,3
CU,AantalRestaurantsBinnen3Km_225,votes_log,-0.0029,0.0,0.0072,0.0,0.1025,5.023769457098938e-18,2
SGP,AantalRestaurantsBinnen3Km_225,votes,-0.0004,0.0,0.0254,0.0,0.0,8.252469002950186e-05,1
DENK,AantalRestaurantsBinnen3Km_225,votes,0.0002,0.0,0.277,0.0,0.0,3.723626457777904e-15,2
VijftigPlus,AantalRestaurantsBinnen3Km_225,votes,-0.0,0.0176,0.0021,0.0,0.0059,0.20591073384841768,2
VVD,AfstandTotBibliotheek_226,votes_div,-0.0516,0.3969,0.0002,0.0,0.9979,0.27128381189132794,2
D66,AfstandTotBibliotheek_226,votes_div,0.9867,0.0679,0.0008,0.0,0.3756,0.47185541460263536,2
PVV,AfstandTotBibliotheek_226,votes,-0.0018,0.0144,0.0018,0.0,0.3474,0.012291246028764606,2
CDA,AfstandTotBibliotheek_226,votes,0.0062,0.0,0.0084,0.0,0.0022,0.995065740242441,2
SP,AfstandTotBibliotheek_226,votes,-0.0027,0.0001,0.0046,0.0,0.059,5.820765293703194e-05,2
PvdA,AfstandTotBibliotheek_226,votes,-0.0007,0.3587,0.0002,0.0,0.1802,0.05362714875556156,2
Groenlinks,AfstandTotBibliotheek_226,votes,-0.002,0.0,0.0048,0.0,0.0904,3.5772038652826098e-06,2
FvD,AfstandTotBibliotheek_226,votes,0.0006,0.667,0.0002,0.0,0.4613,0.6732522669429746,2
PvdD,AfstandTotBibliotheek_226,votes_div,-0.4749,0.3153,0.0003,0.0,0.4369,0.2540496429355684,2
CU,AfstandTotBibliotheek_226,votes_div,-1.6177,0.04,0.0017,0.0,0.044,0.23554208444788627,2
SGP,AfstandTotBibliotheek_226,votes,0.004,0.0004,0.0062,0.0,0.1285,0.4562605606204633,3
DENK,AfstandTotBibliotheek_226,votes,-0.0016,0.0,0.0276,0.0,0.0069,0.0011512842898899083,1
VijftigPlus,AfstandTotBibliotheek_226,votes,-0.0001,0.7931,0.0,0.0,0.8424,0.4047309216827413,2
VVD,AfstandTotBioscoop_227,votes,-0.0011,0.0,0.0089,0.0,0.4793,0.1474498583312071,3
D66,AfstandTotBioscoop_227,votes_div,0.8617,0.0,0.0594,0.0,0.216,1.7252531995790394e-16,3
PVV,AfstandTotBioscoop_227,votes,-0.0003,0.0198,0.0015,0.0,0.0011,6.3615588504965e-07,1
CDA,AfstandTotBioscoop_227,votes_log,0.0199,0.0,0.0743,0.1396,0.0,0.0025213949647286443,3
SP,AfstandTotBioscoop_227,votes,0.0,0.8485,0.0,0.0,0.4241,0.0656436613061453,2
PvdA,AfstandTotBioscoop_227,votes_div,0.3216,0.0,0.0117,0.0,0.4693,1.0916949037072585e-12,2
Groenlinks,AfstandTotBioscoop_227,votes,-0.0014,0.0,0.0572,0.0,0.0,0.0037286731736733704,2
FvD,AfstandTotBioscoop_227,votes,-0.0004,0.1389,0.002,0.0,0.8679,0.2257141901316061,2
PvdD,AfstandTotBioscoop_227,votes_square,-0.0,0.0,0.0234,0.0,0.0,0.21116665073324567,2
CU,AfstandTotBioscoop_227,votes_div,-0.9052,0.0,0.0085,0.0,0.3067,0.5801713518452474,3
SGP,AfstandTotBioscoop_227,votes,0.0026,0.0,0.05,0.0,0.0,4.661406698839877e-32,2
DENK,AfstandTotBioscoop_227,votes,-0.0006,0.0,0.1005,0.0,0.0,0.0002561752428149797,2
VijftigPlus,AfstandTotBioscoop_227,votes,-0.0003,0.0,0.0105,0.0,0.5112,0.3267252990656473,3
VVD,AantalBioscopenBinnen10Km_228,votes_sqrt,0.0061,0.0,0.0159,0.0,0.0,0.1302946347463003,2
D66,AantalBioscopenBinnen10Km_228,votes,0.011,0.0,0.2141,0.0,0.0,1.2036440122729035e-43,2
PVV,AantalBioscopenBinnen10Km_228,votes_div,0.4222,0.0,0.0081,0.0,0.9968,4.646991984135859e-06,2
CDA,AantalBioscopenBinnen10Km_228,votes_log,-0.1057,0.0,0.1669,0.472,0.0528,0.09202224771633248,5
SP,AantalBioscopenBinnen10Km_228,votes_sqrt,-0.0033,0.0,0.0065,0.0985,0.8243,0.001818389721644196,3
PvdA,AantalBioscopenBinnen10Km_228,votes_div,-0.5075,0.0013,0.0023,0.0,0.1919,0.05093337116698193,3
Groenlinks,AantalBioscopenBinnen10Km_228,votes_square,0.0015,0.0,0.1612,0.0,0.0555,1.114532245382418e-50,3
FvD,AantalBioscopenBinnen10Km_228,votes,0.0005,0.6351,0.0002,0.0,0.109,0.8058932736551866,2
PvdD,AantalBioscopenBinnen10Km_228,votes_square,0.0002,0.0,0.1,0.0,0.1454,3.558291811126458e-15,3
CU,AantalBioscopenBinnen10Km_228,votes,-0.0079,0.0,0.0634,0.0,0.0,1.9230813028705665e-15,2
SGP,AantalBioscopenBinnen10Km_228,votes,-0.01,0.0,0.0521,0.0,0.0,1.9190332687024376e-15,2
DENK,AantalBioscopenBinnen10Km_228,votes_sqrt,0.0115,0.0,0.16,0.0,0.2345,1.023147512060049e-11,3
VijftigPlus,AantalBioscopenBinnen10Km_228,votes_square,-0.0,0.2127,0.0006,0.0,0.5595,0.11471766342164562,2
VVD,AfstandTotZwembad_229,votes_log,-0.0086,0.0001,0.0034,0.0,0.1571,0.2725318868255776,3
D66,AfstandTotZwembad_229,votes_div,0.4491,0.0001,0.0036,0.0,0.1619,0.07530327062810904,3
PVV,AfstandTotZwembad_229,votes_square,0.0001,0.357,0.0002,0.0,0.0834,0.8218185772470115,2
CDA,AfstandTotZwembad_229,votes_log,0.0349,0.0,0.0528,0.1601,0.0,0.00023382594662970329,3
SP,AfstandTotZwembad_229,votes_div,-0.2014,0.0286,0.0016,0.0,0.0707,0.15975674487872044,3
PvdA,AfstandTotZwembad_229,votes_div,-0.2418,0.0094,0.0015,0.0,0.5104,0.08305484623853951,3
Groenlinks,AfstandTotZwembad_229,votes_div,0.0717,0.8373,0.0,0.0,0.6732,0.2868352779601573,2
FvD,AfstandTotZwembad_229,votes_square,-0.0003,0.0388,0.0039,0.0,0.2174,0.3294361053571718,3
PvdD,AfstandTotZwembad_229,votes_div,0.4827,0.0404,0.0012,0.0,0.0014,0.12128792068113192,2
CU,AfstandTotZwembad_229,votes,0.0008,0.0292,0.0019,0.0,0.036,0.86252116062314,2
SGP,AfstandTotZwembad_229,votes_square,0.0004,0.0072,0.0037,0.0,0.0302,0.9437113353801412,2
DENK,AfstandTotZwembad_229,votes_sqrt,-0.0062,0.0,0.1164,0.0,0.0,0.05283484136662258,3
VijftigPlus,AfstandTotZwembad_229,votes,-0.0005,0.0,0.0087,0.0,0.2038,0.10373228346972341,3
VVD,AfstandTotSportterrein_230,votes_div,-0.658,0.0273,0.002,0.0,0.2192,0.23836251826294594,3
D66,AfstandTotSportterrein_230,votes_div,11.313,0.025,0.0024,0.0,0.751,0.640953312418691,3
PVV,AfstandTotSportterrein_230,votes_div,3.2296,0.0,0.013,0.0,0.3959,0.9918521723230699,3
CDA,AfstandTotSportterrein_230,votes,0.034,0.0,0.0079,0.0,0.572,3.4097793195044825e-05,2
SP,AfstandTotSportterrein_230,votes,-0.0292,0.0,0.0209,0.0,0.3758,0.0002346356580301105,2
PvdA,AfstandTotSportterrein_230,votes_div,-1.2199,0.177,0.0008,0.0,0.0726,0.10178568846699274,2
Groenlinks,AfstandTotSportterrein_230,votes,-0.0179,0.0,0.0183,0.0,0.0765,0.23275657107085418,3
FvD,AfstandTotSportterrein_230,0,0.0,0.0,0.0,0.0,0.0,0.0,0
PvdD,AfstandTotSportterrein_230,votes,-0.0028,0.003,0.0053,0.0,0.7469,0.3462546528098758,3
CU,AfstandTotSportterrein_230,votes,0.0367,0.0,0.0299,0.0,0.5834,0.44764338474407417,3
SGP,AfstandTotSportterrein_230,votes_square,0.0078,0.0,0.0105,0.0,0.5568,0.8223271895466328,3
DENK,AfstandTotSportterrein_230,0,0.0,0.0,0.0,0.0,0.0,0.0,0
VijftigPlus,AfstandTotSportterrein_230,votes_div,13.9825,0.0007,0.0142,0.0,0.436,0.07512181027744068,3
VVD,AfstandTotOpenbaarGroen_231,votes,-0.0195,0.0,0.0096,0.0,0.007,0.5387626974058479,2
D66,AfstandTotOpenbaarGroen_231,votes,-0.031,0.0,0.0667,0.0,0.0,0.08648417404292363,3
PVV,AfstandTotOpenbaarGroen_231,votes,-0.0213,0.0,0.0234,0.0,0.1194,0.05556693014771068,3
CDA,AfstandTotOpenbaarGroen_231,votes_log,0.403,0.0,0.0936,0.0141,0.0,0.06997863761755699,3
SP,AfstandTotOpenbaarGroen_231,votes,-0.0066,0.0341,0.0024,0.0,0.8867,0.027067187117634853,2
PvdA,AfstandTotOpenbaarGroen_231,votes_sqrt,-0.0016,0.7494,0.0,0.291,0.2061,0.47357799789125354,3
Groenlinks,AfstandTotOpenbaarGroen_231,votes,-0.0095,0.0,0.0115,0.0,0.0,0.6760452839574871,2
FvD,AfstandTotOpenbaarGroen_231,0,0.0,0.0,0.0,0.0,0.0,0.0,0
PvdD,AfstandTotOpenbaarGroen_231,votes,-0.0057,0.0,0.0511,0.0,0.0,3.846878737764409e-05,2
CU,AfstandTotOpenbaarGroen_231,votes_div,-12.3735,0.0013,0.0055,0.0,0.9559,0.7141635377001332,3
SGP,AfstandTotOpenbaarGroen_231,votes_square,0.0044,0.0004,0.0077,0.0,0.033,0.5264277021574781,2
DENK,AfstandTotOpenbaarGroen_231,0,0.0,0.0,0.0,0.0,0.0,0.0,0
VijftigPlus,AfstandTotOpenbaarGroen_231,votes_log,-0.3543,0.0,0.0618,0.2522,0.2368,0.4874657091205884,5
VVD,AfstandTotOpritHoofdverkeersweg_232,votes,0.0022,0.0,0.0065,0.0,0.0018,0.48989636808099346,2
D66,AfstandTotOpritHoofdverkeersweg_232,votes,0.0004,0.1443,0.0004,0.0,0.0571,0.5456851639997151,2
PVV,AfstandTotOpritHoofdverkeersweg_232,votes_div,0.1893,0.0002,0.0033,0.0,0.2949,0.09747892122018745,3
CDA,AfstandTotOpritHoofdverkeersweg_232,votes_div,0.096,0.0,0.0042,0.0,0.0,0.05754202197492681,2
SP,AfstandTotOpritHoofdverkeersweg_232,votes,-0.0008,0.0161,0.0014,0.0,0.1608,0.0742666730973482,3
PvdA,AfstandTotOpritHoofdverkeersweg_232,votes,0.0022,0.0,0.0059,0.0,0.9598,0.6741631180350656,3
Groenlinks,AfstandTotOpritHoofdverkeersweg_232,votes,0.0008,0.0001,0.0029,0.0,0.559,0.7502542842783146,3
FvD,AfstandTotOpritHoofdverkeersweg_232,votes,-0.0002,0.8076,0.0001,0.0,0.6651,0.5586813717841108,2
PvdD,AfstandTotOpritHoofdverkeersweg_232,votes_div,-0.8866,0.0007,0.0026,0.0,0.0001,0.3366878543248173,2
CU,AfstandTotOpritHoofdverkeersweg_232,votes_square,-0.0002,0.0134,0.0018,0.0,0.4622,0.472800562741607,3
SGP,AfstandTotOpritHoofdverkeersweg_232,votes_square,-0.0004,0.0387,0.0016,0.0,0.051,0.21750434033362095,3
DENK,AfstandTotOpritHoofdverkeersweg_232,votes_sqrt,-0.0016,0.0063,0.0067,0.0,0.0033,0.6043506876349074,2
VijftigPlus,AfstandTotOpritHoofdverkeersweg_232,votes_div,0.0132,0.9459,0.0,0.0,0.2161,0.7032902842262774,2
VVD,AfstandTotTreinstation_233,votes_div,0.0597,0.0,0.0051,0.0,0.657,2.236228614176512e-10,2
D66,AfstandTotTreinstation_233,votes,-0.0015,0.0,0.0484,0.0,0.0,8.06220447189344e-12,1
PVV,AfstandTotTreinstation_233,votes_div,-0.0493,0.0135,0.0017,0.0,0.0008,0.05701697902279552,2
CDA,AfstandTotTreinstation_233,votes_log,0.0092,0.0,0.0173,0.0843,0.0,0.37528094217485497,3
SP,AfstandTotTreinstation_233,votes_sqrt,-0.0004,0.0545,0.0011,0.08,0.231,0.065371635655913,3
PvdA,AfstandTotTreinstation_233,votes,-0.0001,0.6248,0.0,0.0,0.0,0.5423791106298743,1
Groenlinks,AfstandTotTreinstation_233,votes_div,2.0562,0.0,0.0116,0.0,0.1453,0.00011513471269776417,2
FvD,AfstandTotTreinstation_233,votes_square,0.0001,0.0286,0.0044,0.0,0.0946,0.11661867990706488,3
PvdD,AfstandTotTreinstation_233,votes,-0.0002,0.0,0.0069,0.0,0.0,0.9089123939038181,2
CU,AfstandTotTreinstation_233,votes,0.0002,0.1626,0.0007,0.0,0.0001,0.17327047199526427,1
SGP,AfstandTotTreinstation_233,votes,0.0014,0.0,0.0183,0.0,0.0559,3.541732312599461e-10,2
DENK,AfstandTotTreinstation_233,votes,-0.0005,0.0,0.0688,0.0,0.0,0.0004527968932374008,2
VijftigPlus,AfstandTotTreinstation_233,votes,0.0001,0.2417,0.0005,0.0,0.4674,0.20531000915043135,2
VVD,Akkerbouw_184,votes_square,-0.5963,0.1119,0.0003,0.0,0.3459,0.07685471963244973,2
D66,Akkerbouw_184,votes,-1.2184,0.0507,0.0005,0.0,0.0005,0.46505002619272573,1
PVV,Akkerbouw_184,votes_div,-1653.28,0.0,0.0076,0.0,0.0,0.3125555062700585,2
CDA,Akkerbouw_184,votes,-5.2225,0.0004,0.0014,0.0,0.0019,0.6702503659814273,2
SP,Akkerbouw_184,votes,2.2333,0.0254,0.0008,0.0,0.0,3.814432037299128e-08,1
PvdA,Akkerbouw_184,votes_sqrt,0.1166,0.9323,0.0,0.0,0.108,0.05320292754875584,2
Groenlinks,Akkerbouw_184,votes,-0.8627,0.1259,0.0003,0.0,0.2579,0.5415257313254773,2
FvD,Akkerbouw_184,votes_log,129.2103,0.0349,0.0031,0.0,0.2008,0.9896601126791469,3
PvdD,Akkerbouw_184,votes,1.1187,0.0006,0.002,0.0,0.3923,0.507681030032559,3
CU,Akkerbouw_184,votes,-2.2765,0.0374,0.0008,0.0,0.0022,0.661096211115739,2
SGP,Akkerbouw_184,votes,3.2319,0.0278,0.0011,0.0,0.0071,0.0007735740776119317,1
DENK,Akkerbouw_184,votes,2.158,0.0142,0.0042,0.0,0.2573,0.7583515223796421,3
VijftigPlus,Akkerbouw_184,votes,2.6835,0.0009,0.0036,0.0,0.0004,0.9244277572394236,2
VVD,TuinbouwOpenGrond_185,votes_log,0.1997,0.0,0.0024,0.0,0.0714,0.6144971390470619,3
D66,TuinbouwOpenGrond_185,votes,0.0078,0.1074,0.0003,0.0,0.877,0.5690845523700151,2
PVV,TuinbouwOpenGrond_185,votes,-0.0084,0.1556,0.0005,0.0,0.577,0.413745772996967,2
CDA,TuinbouwOpenGrond_185,votes,-0.0157,0.1743,0.0002,0.0,0.6973,0.2563930206625584,2
SP,TuinbouwOpenGrond_185,votes,-0.0098,0.2168,0.0002,0.0,0.8657,0.41710768838767076,2
PvdA,TuinbouwOpenGrond_185,votes,-0.0094,0.2612,0.0002,0.0,0.5977,0.22435659445153003,2
Groenlinks,TuinbouwOpenGrond_185,votes,0.0027,0.447,0.0001,0.0,0.5864,0.44844318433179176,2
FvD,TuinbouwOpenGrond_185,votes,0.109,0.7659,0.0001,0.0,0.1482,0.7803508073922507,2
PvdD,TuinbouwOpenGrond_185,votes,-0.0006,0.6501,0.0,0.0,0.2805,0.297441060890263,2
CU,TuinbouwOpenGrond_185,votes,-0.0072,0.227,0.0003,0.0,0.6342,0.5298503186109464,2
SGP,TuinbouwOpenGrond_185,votes,-0.0073,0.3511,0.0002,0.0,0.6282,0.5423721359756117,2
DENK,TuinbouwOpenGrond_185,votes,0.0565,0.4807,0.0003,0.0,0.365,0.5776439907462538,2
VijftigPlus,TuinbouwOpenGrond_185,votes,-0.0028,0.2917,0.0004,0.0,0.3533,0.8591571218151384,2
VVD,TuinbouwOnderGlas_186,votes,0.0664,0.4958,0.0001,0.0,0.3051,0.32437927739310546,2
D66,TuinbouwOnderGlas_186,votes,0.0923,0.1633,0.0002,0.0,0.1581,0.3995598181950881,2
PVV,TuinbouwOnderGlas_186,votes,-0.0522,0.516,0.0001,0.0,0.4315,0.5017148964076761,2
CDA,TuinbouwOnderGlas_186,votes_square,-0.1918,0.0301,0.0005,0.0,0.1132,0.47791707377072135,3
SP,TuinbouwOnderGlas_186,votes,-0.1538,0.0314,0.0007,0.0,0.1204,0.29835991210886564,3
PvdA,TuinbouwOnderGlas_186,votes,-0.2452,0.0331,0.0005,0.0,0.0044,0.7238959966264418,2
Groenlinks,TuinbouwOnderGlas_186,votes,0.084,0.0861,0.0004,0.0,0.4851,0.779755482039316,2
FvD,TuinbouwOnderGlas_186,votes,0.0943,0.2589,0.0009,0.0,0.2705,0.8420546144948412,2
PvdD,TuinbouwOnderGlas_186,votes,0.0422,0.0294,0.0008,0.0,0.7089,0.47347353354966204,3
CU,TuinbouwOnderGlas_186,votes,-0.0315,0.7489,0.0,0.0,0.8498,0.47870694642653233,2
SGP,TuinbouwOnderGlas_186,votes,0.0765,0.5534,0.0001,0.0,0.2746,0.9171406321153569,2
DENK,TuinbouwOnderGlas_186,votes,0.0114,0.5333,0.0003,0.0,0.4705,0.6470361346541524,2
VijftigPlus,TuinbouwOnderGlas_186,votes,0.0329,0.2026,0.0005,0.0,0.2866,0.8122228696685145,2
VVD,BlijvendGrasland_187,votes_div,-6.8725,0.0049,0.0009,0.0,0.0883,0.7663135040994133,3
D66,BlijvendGrasland_187,votes,0.1106,0.0,0.0027,0.0,0.0,0.06767705205747676,2
PVV,BlijvendGrasland_187,votes,-0.029,0.3453,0.0002,0.0,0.5279,0.3340918930739336,2
CDA,BlijvendGrasland_187,votes,-0.42,0.0,0.0061,0.0,0.0,0.7135346952031295,2
SP,BlijvendGrasland_187,votes,-0.0419,0.154,0.0003,0.0,0.0675,0.08736535850599897,2
PvdA,BlijvendGrasland_187,votes,-0.001,0.9791,0.0,0.0,0.141,0.15145971813845538,2
Groenlinks,BlijvendGrasland_187,votes,0.0156,0.3829,0.0001,0.0,0.0687,0.8013274410766769,2
FvD,BlijvendGrasland_187,votes,0.0676,0.5946,0.0002,0.0,0.0824,0.3292828043169337,2
PvdD,BlijvendGrasland_187,votes_div,-101.2551,0.0214,0.0009,0.0,0.011,0.6517197190826037,2
CU,BlijvendGrasland_187,votes,-0.0514,0.1158,0.0005,0.0,0.9024,0.11446421850690389,2
SGP,BlijvendGrasland_187,votes,0.0213,0.7342,0.0,0.0,0.261,0.28218030092805235,2
DENK,BlijvendGrasland_187,votes,0.0855,0.0021,0.0065,0.0,0.0001,0.06532957269075562,2
VijftigPlus,BlijvendGrasland_187,votes,0.0047,0.6724,0.0001,0.0,0.8957,0.655438726793057,2
VVD,NatuurlijkGrasland_188,votes,1.0442,0.0001,0.0017,0.0,0.2151,0.7106249175473002,3
D66,NatuurlijkGrasland_188,votes,0.958,0.0,0.003,0.0,0.0001,0.12223229762006259,2
PVV,NatuurlijkGrasland_188,votes,-0.3778,0.1683,0.0004,0.0,0.228,0.4745793493848133,2
CDA,NatuurlijkGrasland_188,votes,-1.5147,0.0012,0.0012,0.0,0.0,0.6532676401836861,2
SP,NatuurlijkGrasland_188,votes_div,17.5683,0.8371,0.0,0.0,0.4864,0.8855138667991697,2
PvdA,NatuurlijkGrasland_188,votes,-0.4196,0.1878,0.0002,0.0,0.4266,0.9470098008291878,2
Groenlinks,NatuurlijkGrasland_188,votes_div,-132.6481,0.7921,0.0,0.0,0.4331,0.9461400235859794,2
FvD,NatuurlijkGrasland_188,votes,1.2432,0.4114,0.0005,0.0,0.8335,0.5885099521981446,2
PvdD,NatuurlijkGrasland_188,votes,0.2288,0.0005,0.0021,0.0,0.0,0.11441379627071507,2
CU,NatuurlijkGrasland_188,votes,-0.3073,0.5496,0.0001,0.0,0.9233,0.4823813557823625,2
SGP,NatuurlijkGrasland_188,votes,-0.6843,0.3647,0.0002,0.0,0.2539,0.513724031949741,2
DENK,NatuurlijkGrasland_188,votes,1.8751,0.0,0.0223,0.0,0.0,1.4454620190493005e-07,1
VijftigPlus,NatuurlijkGrasland_188,votes,-0.029,0.7841,0.0,0.0,0.809,0.7659963232327002,2
VVD,TijdelijkGrasland_189,votes_div,-4.9505,0.7108,0.0,0.0,0.3036,0.9798936060257835,2
D66,TijdelijkGrasland_189,votes,0.2637,0.0203,0.0007,0.0,0.001,0.6856962882947343,2
PVV,TijdelijkGrasland_189,votes,0.3383,0.0426,0.0009,0.0,0.0,0.46539133655737475,2
CDA,TijdelijkGrasland_189,votes,-0.7839,0.004,0.001,0.0,0.0,0.12871409220657729,2
SP,TijdelijkGrasland_189,votes_div,-8.9059,0.8571,0.0,0.0,0.4555,0.9955571222655691,2
PvdA,TijdelijkGrasland_189,votes_sqrt,-0.4965,0.0491,0.0005,0.0,0.1111,0.19749260157690854,3
Groenlinks,TijdelijkGrasland_189,votes_log,-3.2913,0.0466,0.0005,0.0,0.5747,0.6415557634575474,3
FvD,TijdelijkGrasland_189,votes,-2.4891,0.8317,0.0,0.0,0.7518,0.8171514834936932,2
PvdD,TijdelijkGrasland_189,votes,0.1389,0.0005,0.0021,0.0,0.0012,0.3437412696300213,2
CU,TijdelijkGrasland_189,votes,-0.1298,0.5693,0.0001,0.0,0.0,0.7242048001799168,1
SGP,TijdelijkGrasland_189,votes,-0.237,0.582,0.0001,0.0,0.9777,0.8145698993853274,2
DENK,TijdelijkGrasland_189,votes,9.4848,0.0002,0.0095,0.0,0.0055,0.9563746715122133,2
VijftigPlus,TijdelijkGrasland_189,votes_div,-111.2296,0.4395,0.0002,0.0,0.3063,0.9866460690358768,2
VVD,Groenvoedergewassen_190,votes,-7.8195,0.1711,0.0002,0.0,0.7796,0.05340301442695517,2
D66,Groenvoedergewassen_190,votes_div,-3074.0097,0.3603,0.0001,0.0,0.7129,0.41956968842943854,2
PVV,Groenvoedergewassen_190,votes_div,-3458.5113,0.0012,0.0024,0.0,0.1425,0.27976398904927313,3
CDA,Groenvoedergewassen_190,votes_log,-86.7093,0.0478,0.0004,0.0,0.0799,0.8152460776238117,3
SP,Groenvoedergewassen_190,votes,31.8619,0.0,0.007,0.0,0.0,1.9048247942328721e-13,1
PvdA,Groenvoedergewassen_190,votes,-14.2283,0.0426,0.0005,0.0,0.1006,0.8134328501739239,3
Groenlinks,Groenvoedergewassen_190,votes_log,131.2724,0.0177,0.0007,0.0,0.2779,0.1042584119838697,3
FvD,Groenvoedergewassen_190,votes,-13.5703,0.3019,0.0007,0.0,0.8476,0.17194931676177244,2
PvdD,Groenvoedergewassen_190,votes,-0.4994,0.7367,0.0,0.0,0.7551,0.5075480954527476,2
CU,Groenvoedergewassen_190,votes,-22.9937,0.0002,0.0027,0.0,0.0,0.015654895399061283,1
SGP,Groenvoedergewassen_190,votes,-16.4981,0.0489,0.0009,0.0,0.082,0.9052771953268605,3
DENK,Groenvoedergewassen_190,votes,11.6448,0.0,0.0124,0.0,0.8752,0.9442218923626927,3
VijftigPlus,Groenvoedergewassen_190,votes,11.0762,0.0001,0.0053,0.0,0.0,0.12951110042968658,2
VVD,VoortgezetOnderwijs_108,votes,-0.1709,0.6946,0.0,0.0,0.0,0.34672409775054047,1
D66,VoortgezetOnderwijs_108,votes_sqrt,-1.49,0.0084,0.001,0.0,0.8341,0.000249987701241142,2
PVV,VoortgezetOnderwijs_108,votes_square,-2.2519,0.0,0.0633,0.0,0.0628,2.842509567799195e-25,3
CDA,VoortgezetOnderwijs_108,votes,6.3694,0.0,0.0117,0.0,0.0743,0.3076435291147,3
SP,VoortgezetOnderwijs_108,votes,-1.7355,0.0,0.0043,0.0,0.0,0.24347421889604584,2
PvdA,VoortgezetOnderwijs_108,votes,-14.7585,0.0,0.1153,0.0,0.075,7.611649973960454e-26,3
Groenlinks,VoortgezetOnderwijs_108,votes_log,-74.9712,0.0,0.0501,0.0,0.083,6.322835229728055e-35,3
FvD,VoortgezetOnderwijs_108,votes,0.3662,0.7198,0.0001,0.0,0.2564,0.46493670943851695,2
PvdD,VoortgezetOnderwijs_108,votes_sqrt,-2.2391,0.0,0.0089,0.0,0.923,3.0100088287602515e-19,2
CU,VoortgezetOnderwijs_108,votes,10.2904,0.0,0.1237,0.0,0.0,1.0663536922148323e-47,2
SGP,VoortgezetOnderwijs_108,votes,12.7459,0.0,0.109,0.0,0.0,7.447186041486024e-66,2
DENK,VoortgezetOnderwijs_108,votes,-1.8075,0.0,0.0736,0.0,0.195,8.804093030892624e-13,3
